subject_id,X0__0,X1__0,X2__0,X3__0,X4__0,X0__1,X1__1,X2__1,X3__1,X4__1,X0__2,X1__2,X2__2,X3__2,X4__2,X0__3,X1__3,X2__3,X3__3,X4__3,X0__4,X1__4,X2__4,X3__4,X4__4,X0__5,X1__5,X2__5,X3__5,X4__5,X0__6,X1__6,X2__6,X3__6,X4__6,X0__7,X1__7,X2__7,X3__7,X4__7,X0__8,X1__8,X2__8,X3__8,X4__8,X0__9,X1__9,X2__9,X3__9,X4__9,X0__10,X1__10,X2__10,X3__10,X4__10
13,c,a,b,c,c,a,b,b,c,c,a,a,c,c,c,b,c,a,c,c,a,c,c,c,c,b,c,c,c,c,a,a,a,c,a,b,c,c,b,a,b,b,c,b,a,a,b,c,b,b,b,c,a,b,a
14,b,b,a,c,c,a,a,c,c,c,b,c,a,c,a,a,c,a,c,c,a,a,c,c,a,b,a,a,c,a,a,a,c,c,b,b,c,c,c,b,c,a,b,c,b,a,c,b,c,c,b,b,b,c,c
15,b,a,b,c,c,c,c,c,c,a,a,a,b,c,a,b,c,b,c,b,a,c,b,c,c,b,c,c,c,c,c,c,c,c,c,a,b,a,c,a,b,c,c,c,a,b,c,a,c,c,c,a,c,c,a
16,b,a,a,a,b,a,b,c,c,a,a,a,a,c,c,a,c,c,c,b,b,c,a,c,c,c,c,c,c,c,a,b,a,c,c,b,a,c,c,c,a,c,a,c,a,b,b,c,c,a,a,b,a,c,a
17,b,a,a,c,c,c,c,c,a,a,a,b,c,c,b,a,c,c,c,a,b,b,a,c,a,c,b,c,c,a,b,b,a,c,b,a,c,c,c,a,b,a,c,a,a,a,c,c,a,b,b,b,c,a,a
18,b,a,a,c,c,a,c,c,a,b,b,b,a,c,a,b,c,c,c,a,c,b,a,c,a,a,c,c,c,a,a,c,a,c,b,b,b,c,c,c,a,a,a,c,c,b,a,a,c,a,a,c,c,c,b
19,b,b,c,b,c,b,a,a,b,c,a,a,a,b,c,a,b,a,a,c,b,a,c,c,c,a,c,a,c,a,b,b,c,c,a,a,b,a,c,a,a,b,c,c,b,a,c,a,c,c,b,b,c,c,b
20,b,c,b,b,c,c,b,c,b,a,b,a,a,b,c,c,c,c,a,a,a,c,c,a,c,a,b,a,a,b,b,a,c,a,a,b,b,a,a,b,c,a,c,a,b,a,c,a,a,b,b,c,c,a,c
21,b,b,b,b,a,b,b,b,b,b,a,a,c,b,c,a,c,a,b,c,b,b,c,c,a,a,c,a,a,a,b,b,c,a,b,c,a,a,a,c,b,c,a,c,c,c,b,c,c,b,a,c,a,c,a
22,c,a,b,b,c,b,c,b,b,c,a,a,c,c,a,b,c,b,c,a,b,b,b,c,b,c,a,c,c,c,a,c,a,c,a,b,c,c,c,b,c,c,a,c,c,c,a,c,c,a,a,c,a,c,a
23,b,b,a,a,a,a,c,a,a,a,a,b,c,a,a,b,c,a,a,a,b,b,a,a,a,a,a,c,a,b,b,c,a,b,a,c,b,c,b,a,a,c,a,b,a,a,b,c,b,a,b,c,b,a,a
24,b,b,a,a,c,b,a,c,a,c,c,b,a,a,c,a,a,c,a,c,b,c,c,a,c,a,c,a,a,c,b,a,c,a,c,b,c,c,a,c,a,a,a,a,c,a,a,c,a,a,b,c,a,a,a
25,a,c,b,b,c,a,b,c,c,a,b,c,a,c,a,b,a,a,c,a,b,c,c,c,a,c,a,a,c,b,a,c,c,c,b,b,a,a,c,b,a,b,c,c,c,b,c,c,c,a,b,c,a,c,b
26,b,b,b,c,c,a,a,b,a,c,a,c,b,a,c,b,b,c,a,b,c,a,b,a,c,b,b,a,a,c,a,c,c,a,a,b,c,c,a,b,c,c,a,a,c,c,a,c,a,a,a,c,c,a,a
27,b,c,b,b,c,a,b,c,b,a,a,b,c,b,a,b,c,c,b,c,b,b,a,b,a,b,c,c,b,a,b,b,b,a,a,b,b,b,b,a,a,b,c,c,b,a,b,a,c,a,b,a,b,c,c
28,b,a,b,b,b,a,c,b,c,a,b,b,b,c,a,b,c,b,c,b,b,c,c,c,c,b,a,a,c,c,b,c,c,c,c,c,c,b,c,c,a,b,c,c,c,b,c,b,c,c,a,b,b,c,a
29,a,c,c,a,a,b,b,a,a,a,a,c,c,a,a,a,c,c,a,b,b,b,c,a,a,c,c,a,c,a,a,b,c,c,a,b,a,b,c,c,a,c,c,c,b,b,a,c,c,a,c,b,a,c,c
30,b,a,a,a,a,a,c,c,a,a,a,a,a,a,a,b,c,a,a,a,a,c,c,b,b,a,b,a,b,a,b,a,c,c,b,a,c,a,c,c,a,b,c,c,b,a,a,a,c,b,b,b,c,c,b
31,b,a,a,a,a,a,c,c,a,a,b,b,a,a,a,c,b,c,a,b,a,a,c,a,c,b,b,a,a,c,a,a,a,a,c,b,c,c,a,b,a,b,c,a,b,a,a,a,c,b,b,a,c,c,c
32,b,a,b,b,c,a,c,b,c,b,b,c,c,c,c,a,c,a,c,a,a,a,c,c,a,b,b,c,c,a,a,a,a,c,c,b,b,c,c,c,a,c,a,c,a,b,c,c,c,c,b,b,a,c,a
33,b,a,b,c,c,b,a,c,c,c,b,b,a,c,c,a,a,a,c,b,b,c,c,c,a,c,b,a,a,a,a,b,c,a,b,b,a,a,a,c,a,b,c,c,c,a,a,a,c,a,b,c,a,c,c
34,b,b,b,a,b,a,c,c,a,a,b,c,c,a,b,b,b,b,a,a,a,a,b,a,a,a,c,b,c,a,b,a,c,c,a,c,c,a,c,a,a,c,c,c,b,a,b,b,c,b,b,a,c,c,b
35,b,b,a,c,c,b,a,c,c,b,c,b,a,c,c,a,a,c,b,b,b,b,b,c,a,b,b,c,c,b,b,a,a,c,a,c,c,c,c,a,a,c,a,c,b,a,b,c,c,b,a,a,a,c,c
36,a,c,b,c,c,a,b,b,c,a,a,a,b,c,c,a,c,c,c,c,b,b,a,c,a,a,c,a,c,a,b,b,c,c,b,a,c,a,b,a,a,a,c,b,a,a,c,c,b,b,b,b,a,b,b
37,b,b,b,b,a,a,c,c,c,a,b,b,a,c,a,c,b,c,c,b,a,c,a,c,a,a,b,c,c,c,a,a,a,c,b,b,b,c,c,a,c,b,c,c,b,a,a,c,c,c,b,c,c,c,c
38,b,b,a,b,c,a,a,c,b,c,b,b,c,b,a,a,a,a,c,a,b,b,c,c,a,c,b,a,c,a,c,c,c,c,a,a,c,a,c,c,b,a,c,c,a,c,c,a,c,a,a,b,c,c,b
39,c,a,b,b,a,a,b,c,b,a,a,b,a,b,b,b,a,c,a,c,c,b,a,a,a,a,c,c,a,b,b,a,a,a,b,b,c,c,a,a,b,c,a,a,c,b,a,c,a,c,a,c,a,c,c
40,b,b,c,b,a,a,c,a,b,a,b,a,c,a,a,c,c,b,a,a,b,a,b,a,a,a,b,b,a,c,a,a,b,a,c,b,b,c,a,a,b,a,b,a,b,c,b,c,a,a,a,a,b,a,b
41,b,c,b,b,c,a,b,c,a,a,b,a,a,a,a,a,c,c,c,a,b,c,a,c,b,a,a,c,c,a,b,c,a,c,a,a,b,c,c,a,a,c,c,c,a,b,b,a,c,a,b,b,c,b,a
42,b,c,a,b,a,c,b,a,b,a,a,b,c,b,b,b,a,a,c,c,a,b,c,c,c,b,c,a,c,a,c,b,c,c,c,a,a,a,c,c,b,c,c,b,c,c,c,b,b,c,a,a,c,b,b
43,b,b,b,b,b,a,c,b,b,b,b,b,b,b,a,c,b,c,b,a,a,a,a,a,a,c,c,a,a,a,a,b,c,a,a,b,a,a,b,a,c,c,c,b,a,c,a,c,b,a,c,b,c,b,c
44,b,b,a,b,a,c,c,c,a,a,a,b,a,a,a,b,b,c,a,b,c,c,b,c,a,a,b,b,a,a,b,b,c,a,a,a,a,c,a,b,b,b,a,a,a,c,c,c,a,a,a,c,c,a,c
45,b,c,b,b,c,a,c,b,b,c,b,c,c,b,c,b,b,c,b,a,b,c,a,c,a,b,b,c,c,a,a,c,a,c,a,b,b,c,c,a,c,b,b,c,a,a,a,b,c,b,b,b,c,c,c
46,a,c,b,b,b,b,b,b,c,a,c,a,b,c,a,a,c,c,c,a,b,b,b,c,a,c,a,b,c,b,a,c,c,c,b,b,c,c,c,a,c,b,a,c,b,a,b,c,c,b,b,a,c,c,c
47,b,b,a,b,c,c,a,c,c,c,a,c,c,c,a,b,a,a,c,a,b,c,a,c,a,a,a,a,c,c,b,b,a,c,c,a,b,c,c,c,b,c,a,c,a,a,c,c,b,c,a,b,b,b,a
48,c,a,a,a,c,b,c,c,a,b,b,a,c,a,c,c,c,c,c,a,a,c,c,c,c,b,a,a,c,c,a,c,c,c,c,a,c,a,c,a,b,b,c,c,a,c,c,a,c,a,a,c,c,c,c
49,b,a,a,b,a,a,c,c,b,c,a,c,a,b,c,b,c,c,a,c,a,c,c,a,c,b,b,c,a,b,c,a,b,a,c,b,c,a,a,c,c,b,c,a,b,a,c,c,a,a,b,b,a,a,b
50,b,b,a,a,a,a,c,c,c,a,a,b,c,c,a,a,c,a,c,a,b,b,c,c,b,b,c,c,b,a,a,c,a,c,c,a,c,b,c,c,a,c,b,c,c,b,b,b,c,a,c,a,c,c,a
51,b,b,a,c,c,c,c,a,c,c,a,b,c,c,a,a,b,c,c,b,b,a,a,c,c,c,a,c,c,c,a,c,c,c,a,a,b,a,c,a,b,b,c,c,b,b,b,a,c,a,a,a,c,c,c
52,b,b,a,a,c,c,c,c,a,c,a,b,a,c,a,b,b,c,c,a,a,b,c,c,a,b,c,c,c,a,c,b,c,c,c,a,a,a,c,b,b,b,c,c,a,a,a,c,c,b,b,c,a,c,a
53,b,b,a,c,a,a,a,a,c,c,a,b,c,c,a,a,c,c,b,c,a,c,a,b,c,b,a,c,a,c,a,c,a,a,c,b,c,c,c,c,a,c,c,c,c,b,c,a,c,c,b,b,a,c,a
54,c,a,b,b,c,c,c,b,b,a,a,b,c,a,a,b,b,c,a,b,c,a,b,a,b,a,a,c,a,c,b,c,c,a,a,c,b,c,a,a,a,a,c,a,c,a,c,a,a,b,b,c,c,c,b
55,b,b,c,b,c,a,c,a,b,a,a,b,c,b,a,a,c,a,b,a,b,b,c,b,a,b,a,c,a,b,a,b,c,a,a,b,c,c,a,a,c,a,a,a,b,c,b,c,a,c,a,a,a,c,c
56,b,c,a,b,a,a,a,c,b,a,b,c,a,c,b,a,b,c,c,b,b,a,a,c,c,a,b,c,c,c,b,a,b,c,c,c,c,c,c,b,a,c,a,c,c,b,b,c,c,a,a,c,c,b,a
57,a,c,b,c,c,b,c,c,c,c,b,b,c,b,a,c,a,a,b,b,a,c,a,b,a,a,a,c,c,a,b,c,a,c,b,c,a,a,c,a,a,b,c,c,b,b,c,a,c,a,c,b,c,c,a
58,b,c,a,c,c,a,b,c,c,b,b,b,c,c,b,a,a,a,c,c,b,b,c,b,c,c,c,a,b,a,a,b,c,b,a,b,a,a,c,b,c,c,c,c,b,a,b,b,c,a,b,b,c,c,a
59,b,b,a,b,c,c,a,a,b,c,a,b,c,b,c,b,a,a,c,c,a,c,c,c,a,b,b,a,c,a,a,a,c,c,c,b,b,a,b,c,a,c,a,b,a,b,b,a,b,b,c,a,c,c,b
60,b,b,a,b,b,a,a,c,b,c,b,b,c,b,c,a,c,a,a,a,a,a,c,a,b,b,c,c,a,a,a,b,b,a,a,b,b,c,a,a,a,a,a,a,a,b,c,c,a,a,b,a,a,a,a
61,c,a,b,b,c,a,c,c,b,a,b,b,b,b,b,c,a,c,b,b,c,b,c,a,c,a,a,c,a,a,b,c,c,a,c,c,c,a,a,c,a,b,c,a,a,b,b,c,b,c,c,c,a,c,a
62,b,b,a,b,c,a,a,c,b,c,b,c,c,b,c,a,b,c,b,a,a,c,a,c,a,a,b,c,c,c,b,c,a,c,a,c,b,c,c,a,a,b,c,c,b,b,a,c,c,c,b,c,b,c,a
63,c,a,a,b,c,a,c,c,b,b,b,a,a,a,a,c,c,a,a,a,a,c,c,a,b,b,a,b,a,c,b,c,b,a,a,c,a,b,c,a,a,a,c,c,a,a,c,a,c,a,a,b,c,c,a
64,b,b,a,c,c,c,c,c,c,a,a,b,b,c,a,b,a,c,c,a,a,b,a,c,c,b,a,a,c,a,a,a,c,c,a,b,c,a,c,a,c,b,c,c,a,c,a,b,c,b,a,c,b,c,a
65,b,a,a,c,c,c,b,c,c,c,a,c,a,c,c,b,c,c,c,c,c,a,c,c,c,a,c,a,c,c,b,c,c,c,c,b,c,a,c,c,b,c,c,c,c,b,b,a,c,b,a,a,c,c,b
66,a,a,a,a,a,b,b,c,a,a,b,c,c,a,a,c,a,c,a,c,a,c,a,a,c,b,a,c,a,a,a,c,c,b,b,b,b,c,b,c,c,b,a,b,a,a,c,c,c,a,a,a,a,c,a
67,b,a,a,a,b,a,b,c,a,c,b,a,a,c,c,a,b,c,a,a,b,c,c,a,a,c,c,a,a,c,a,c,c,a,c,a,b,b,a,a,a,c,b,a,a,b,b,c,a,a,a,a,b,b,a
68,b,c,b,b,b,c,a,c,c,a,a,b,c,c,c,b,c,a,c,c,a,b,c,c,a,b,a,a,c,c,c,c,c,c,c,a,b,a,c,b,a,b,c,c,b,b,a,a,c,c,b,b,a,c,a
69,c,b,a,c,a,b,b,c,c,a,b,b,a,c,b,c,b,c,c,b,a,c,a,c,c,b,c,a,c,c,b,c,c,c,c,c,c,a,c,c,a,c,a,c,c,b,b,c,c,a,a,c,b,c,a
70,a,c,a,c,c,b,b,c,c,a,c,c,a,c,a,a,b,c,c,a,b,a,a,c,a,b,c,c,c,b,a,b,a,c,b,b,c,c,c,a,a,b,a,c,b,b,b,c,c,b,a,a,a,c,a
71,b,c,b,b,c,c,c,b,c,b,a,b,b,c,a,b,c,b,a,a,c,b,c,a,a,a,a,a,a,a,a,c,c,a,c,b,c,c,a,b,c,b,a,a,c,b,a,c,a,c,a,c,a,a,c
72,c,a,b,b,a,a,a,c,b,a,a,b,c,b,c,b,c,a,c,c,a,c,c,c,b,b,b,c,c,c,c,c,a,c,a,a,c,a,c,c,b,c,c,c,c,a,b,a,c,a,a,c,c,c,a
73,b,c,a,c,a,a,c,c,c,b,b,c,c,c,c,b,b,b,c,a,a,c,c,c,a,b,b,a,c,a,a,a,c,c,c,a,b,b,c,c,b,b,b,c,c,c,a,b,b,a,a,c,b,c,b
74,c,b,c,b,c,a,c,a,b,a,a,b,c,b,b,b,c,c,a,a,a,c,a,a,c,b,b,c,a,c,b,b,c,a,a,b,a,a,a,b,b,b,c,c,c,c,c,a,c,a,a,c,c,c,b
75,a,c,b,c,c,b,c,b,c,c,a,c,b,c,c,a,b,c,c,a,b,b,c,c,a,c,c,c,c,a,a,b,a,c,b,b,a,c,c,a,b,b,a,c,b,c,b,c,c,a,a,b,a,c,a
76,c,a,c,b,c,a,b,a,b,c,a,c,c,c,a,b,b,a,c,a,a,a,a,c,a,b,c,a,c,a,a,b,a,c,a,a,c,c,c,b,a,c,a,c,c,b,c,c,c,c,c,c,c,c,c
77,b,a,b,b,a,c,c,c,c,a,a,c,a,c,c,a,c,c,c,c,a,b,b,c,a,b,b,c,c,b,a,a,c,c,a,b,a,a,c,b,a,c,a,c,b,b,b,c,c,a,a,a,c,c,b
78,b,b,a,b,c,a,a,c,a,c,a,b,c,a,c,b,a,a,a,c,a,c,c,a,a,b,a,c,a,b,c,c,a,a,a,a,a,c,b,a,a,b,a,b,a,b,a,c,b,c,a,c,a,b,c
79,a,a,a,b,a,b,c,c,b,a,a,b,a,c,b,b,a,c,c,b,c,b,c,c,c,a,c,a,c,a,b,c,c,b,a,a,c,c,b,b,b,c,c,b,c,b,c,a,c,b,a,c,c,c,c
80,b,b,c,b,a,a,c,a,b,a,b,b,c,b,a,a,c,a,b,a,b,b,c,c,b,c,a,a,c,a,a,c,c,c,a,b,b,b,b,a,a,b,b,b,b,b,c,c,b,a,a,a,c,a,a
81,b,c,a,a,a,a,b,a,c,b,b,a,c,b,c,a,b,c,b,c,a,a,b,b,c,b,b,b,a,c,a,a,c,c,c,b,a,c,c,b,a,c,c,c,a,a,b,a,c,a,b,c,c,c,a
82,b,b,c,b,b,c,c,c,b,a,a,c,c,b,b,b,b,c,b,a,c,a,c,b,b,a,c,a,c,a,a,a,c,c,b,b,b,c,c,c,c,a,c,c,c,a,c,a,c,a,b,b,c,c,a
83,a,a,c,b,a,b,b,b,c,b,b,c,c,c,c,a,b,c,c,a,a,a,b,c,b,b,c,c,c,a,a,b,b,b,b,a,b,b,b,b,b,a,b,b,a,a,c,b,b,a,b,b,c,b,a
84,c,b,a,b,b,a,c,a,b,a,a,b,c,b,a,a,c,a,b,a,a,c,c,b,b,b,a,a,b,b,a,c,a,b,a,b,a,c,b,b,b,c,c,b,a,c,a,a,b,a,a,c,a,a,a
85,b,b,a,a,b,a,a,c,a,a,b,c,b,a,a,b,b,c,a,b,a,a,b,a,a,b,c,b,c,a,c,b,c,c,a,a,b,a,c,b,a,c,c,c,a,b,b,a,c,b,a,b,a,c,b
86,a,c,b,b,b,b,c,c,b,c,a,b,a,b,c,a,a,c,b,c,b,c,a,b,c,a,b,c,b,a,b,c,c,b,a,a,b,a,b,a,b,c,a,c,b,a,c,c,c,c,a,b,c,c,a
87,b,c,b,c,c,b,c,b,c,a,c,a,a,c,a,a,c,a,c,a,a,b,c,c,a,a,c,a,c,a,b,c,c,c,b,c,b,a,c,a,b,c,c,c,a,a,b,a,c,a,b,a,c,c,c
88,b,b,a,b,c,a,c,c,b,a,b,c,b,a,c,a,c,b,a,c,a,a,c,a,b,b,c,c,a,a,a,c,a,a,a,c,a,a,a,a,a,c,c,b,a,b,c,a,c,c,a,c,a,c,c
89,b,a,a,c,c,c,c,c,c,a,c,a,a,b,a,a,b,c,b,a,b,b,c,a,b,b,b,a,a,a,c,a,c,a,b,a,b,a,a,a,b,b,c,c,a,a,c,a,c,a,b,a,c,c,b
90,c,b,a,b,c,a,a,c,b,b,b,b,c,b,c,a,c,a,c,a,b,b,c,c,b,c,b,c,c,b,b,a,a,c,c,c,b,c,c,c,a,b,c,c,b,a,b,c,c,a,b,a,a,c,b
91,b,a,b,b,a,a,c,b,c,a,a,b,b,c,a,b,a,b,c,b,a,c,b,c,a,a,b,b,c,a,a,c,b,a,a,b,a,a,a,a,a,c,c,a,b,b,b,a,c,a,b,c,c,c,a
92,b,b,b,b,a,c,b,c,c,b,a,b,c,c,a,b,c,c,b,a,a,b,b,b,a,a,c,c,b,a,a,b,c,c,a,b,a,b,c,a,c,c,b,c,b,b,b,b,c,a,a,c,c,c,a
93,b,a,a,b,c,a,b,c,b,c,a,a,c,c,c,a,b,a,c,c,a,a,c,c,c,b,b,a,c,c,c,a,a,b,c,a,b,a,b,a,a,a,c,a,a,b,a,a,a,a,a,c,c,a,b
94,a,a,a,b,a,a,c,c,b,a,a,b,a,b,a,b,a,c,b,a,a,b,a,b,a,b,c,c,b,a,b,b,a,b,b,b,c,c,b,a,a,c,b,b,c,b,c,b,b,c,c,b,b,c,a
95,b,c,b,b,c,b,b,c,b,a,b,a,c,c,c,c,c,c,c,a,a,b,a,c,b,a,b,c,c,a,b,c,a,c,a,c,a,a,c,c,c,b,c,c,c,a,c,b,b,c,b,c,b,a,c
96,a,a,a,b,c,b,b,c,c,c,a,c,a,c,a,b,b,c,c,a,b,a,b,c,c,b,c,c,c,a,a,b,c,c,a,b,a,c,c,b,a,a,a,c,b,a,c,c,c,a,b,a,b,c,a
97,b,c,b,b,c,a,b,b,b,a,b,b,b,b,b,b,b,b,c,b,c,b,c,a,b,c,b,b,a,b,a,c,b,a,a,a,b,c,a,a,a,b,a,b,b,a,a,c,c,c,a,b,a,c,c
98,c,a,b,c,c,a,b,c,c,c,a,a,a,c,c,a,a,c,c,c,b,c,b,c,b,a,c,c,c,c,a,a,c,b,a,b,b,c,b,a,b,c,c,c,a,a,b,c,c,a,b,a,a,c,b
99,a,c,b,c,c,b,c,b,c,c,a,c,c,c,c,b,b,c,c,a,c,b,a,c,a,a,b,c,c,b,b,b,a,c,b,a,c,a,c,a,a,b,c,c,a,a,c,a,c,a,b,b,c,c,b
100,c,b,b,b,a,a,a,b,a,a,b,b,a,a,a,c,b,c,a,b,a,a,b,a,c,b,b,c,a,c,b,a,a,a,a,c,a,c,a,b,a,c,a,c,a,b,b,c,c,a,a,c,c,c,a
101,a,a,b,b,c,b,b,b,b,c,b,a,c,c,c,a,b,a,c,c,b,a,c,c,a,a,b,c,c,b,b,c,c,c,a,a,b,a,c,c,a,c,c,c,a,b,a,c,c,b,a,c,a,c,a
102,a,c,a,b,c,a,a,c,b,c,a,c,c,b,a,b,b,a,b,b,c,b,c,b,a,a,c,b,a,a,b,b,c,a,a,a,a,c,a,a,b,c,a,a,b,a,c,c,a,c,b,c,c,a,c
103,c,a,a,b,c,a,b,a,c,c,b,c,c,c,a,a,b,a,c,b,a,b,a,c,a,b,c,c,a,a,c,b,a,a,a,a,c,a,a,a,b,b,c,a,a,c,c,a,a,a,a,b,c,a,b
104,b,b,a,c,c,a,b,c,c,c,b,a,a,c,c,a,c,c,c,a,b,b,c,c,a,a,c,c,c,a,a,b,a,c,b,b,a,c,c,b,a,c,a,c,a,b,b,c,c,a,a,b,a,c,b
105,c,a,c,b,a,a,c,a,b,a,b,c,c,c,b,c,b,a,c,b,a,c,c,c,a,b,c,a,c,c,a,a,c,c,a,b,c,a,c,a,a,b,c,c,a,b,c,c,c,c,b,a,c,c,a
106,a,c,a,b,c,b,b,c,a,a,c,c,c,a,a,c,b,a,a,a,a,b,c,a,b,b,b,b,a,a,c,a,b,a,a,a,c,c,a,a,a,a,a,a,a,a,b,c,a,c,b,c,c,a,a
107,c,a,b,b,c,c,b,c,b,c,a,c,a,c,a,b,b,c,c,c,c,a,a,c,c,a,c,a,c,c,b,c,a,c,c,a,c,c,c,c,a,b,a,c,a,b,a,a,c,a,c,b,a,c,a
108,a,c,b,b,c,b,b,c,c,a,a,c,b,c,a,b,b,c,c,a,b,c,a,c,a,c,b,c,c,a,c,c,a,c,c,b,b,c,c,c,c,b,a,c,a,a,c,c,c,a,b,b,c,c,a
109,c,b,a,a,c,a,a,c,a,c,b,b,a,a,c,a,a,c,a,c,b,b,b,a,c,a,c,c,a,a,a,c,c,a,b,b,b,c,a,b,a,b,a,a,b,b,c,c,a,c,b,c,a,a,c
110,b,a,c,a,b,c,c,a,a,a,a,b,c,c,a,b,a,c,c,a,c,c,a,c,b,a,c,c,c,c,b,c,a,c,c,a,b,c,c,a,b,b,a,c,b,b,b,c,c,b,c,a,b,c,a
111,b,c,c,b,a,a,a,a,c,a,b,c,c,c,a,b,a,a,c,a,b,c,c,c,b,a,b,a,c,b,b,b,c,c,a,a,a,a,b,a,b,c,c,b,a,c,a,c,b,a,a,c,a,b,a
112,a,c,b,b,a,b,c,c,b,c,a,c,a,c,b,b,c,c,c,a,a,b,b,b,a,b,b,b,b,b,c,b,c,b,a,a,c,a,a,a,b,b,c,a,a,b,c,a,a,a,a,a,c,a,a
113,b,b,b,b,c,a,b,c,b,a,b,a,a,c,b,a,c,c,c,b,b,b,a,c,a,c,c,c,c,a,a,b,c,c,a,b,a,b,c,a,a,b,c,c,a,b,a,c,b,b,a,b,a,c,c
114,c,b,a,a,a,a,a,c,a,c,b,c,a,a,c,a,c,c,a,c,a,a,c,a,c,a,b,a,a,c,b,c,c,a,b,c,a,a,a,b,a,c,a,a,a,b,c,c,a,c,c,c,a,a,c
115,b,b,b,b,b,c,c,c,b,b,b,b,c,c,b,a,a,a,c,b,b,c,c,c,b,a,b,a,c,a,b,c,c,c,a,a,b,a,c,a,a,a,c,c,b,b,c,a,c,c,c,b,c,c,a
116,b,b,b,c,c,a,a,c,c,c,b,c,c,c,c,a,b,c,c,a,b,a,c,c,b,b,c,c,c,c,a,b,c,c,a,b,c,a,c,a,a,c,c,c,c,b,c,a,c,c,a,b,c,c,a
117,a,c,a,b,c,a,a,c,c,c,b,c,b,c,a,a,a,b,c,a,b,b,b,c,a,c,c,b,c,a,a,b,b,c,a,b,c,b,c,c,c,b,c,c,a,a,c,a,c,a,a,a,c,c,b
118,a,a,a,c,c,a,b,c,b,c,b,b,a,c,c,c,a,c,c,a,a,c,c,c,a,b,b,a,b,a,a,a,c,b,b,b,b,a,c,c,c,a,c,c,c,a,b,b,b,c,b,b,c,c,c
119,b,c,b,a,a,c,c,b,a,a,a,a,c,a,b,a,c,b,a,a,b,a,b,a,a,a,b,c,a,a,b,b,a,a,a,c,c,c,b,a,a,b,a,b,a,a,c,c,b,c,b,b,b,b,b
